size, time1, time2, time3, time4, time5
32, 291, 402, 306, 281, 799
64, 297, 252, 312, 341, 588
128, 400, 421, 338, 426, 403
256, 332, 373, 373, 521, 442
512, 408, 474, 443, 437, 532
1024, 1030, 813, 781, 644, 1268
2048, 662, 717, 1112, 788, 2917
4096, 717, 826, 988, 1051, 980
8192, 1173, 1223, 1167, 1227, 1265
16384, 2483, 2204, 2172, 2213, 2269
32768, 4652, 4585, 4504, 4728, 5757
65536, 9211, 8772, 8751, 8599, 13117
131072, 17997, 18114, 18191, 18514, 22239
262144, 47820, 41036, 37076, 36834, 36779
524288, 73980, 73272, 73498, 85944, 84839
1048576, 158697, 160962, 167323, 150838, 150422
