size, time1, time2, time3, time4, time5
2, 0, 0, 0, 0, 1
4, 1, 0, 14, 0, 20
8, 0, 0, 0, 0, 2
16, 1, 1, 1, 1, 4
32, 2, 1, 2, 2, 4
64, 4, 4, 5, 5, 8
128, 10, 10, 10, 11, 15
256, 22, 22, 24, 26, 30
512, 53, 54, 54, 55, 75
1024, 119, 120, 122, 124, 142
2048, 375, 264, 264, 266, 280
4096, 572, 573, 572, 580, 615
8192, 1254, 1261, 1254, 1260, 1285
16384, 2673, 2793, 2668, 2668, 2738
32768, 5701, 5700, 6297, 5775, 5913
65536, 11760, 11743, 11955, 11780, 11907
131072, 23964, 23991, 23983, 24269, 24788
262144, 49051, 48996, 50336, 49833, 50193
