size, time1, time2, time3, time4, time5
2, 0, 0, 0, 0, 0
4, 0, 0, 0, 0, 0
8, 0, 0, 0, 0, 0
16, 0, 0, 0, 0, 1
32, 0, 1, 1, 1, 1
64, 4, 5, 5, 5, 6
128, 23, 15, 14, 16, 15
256, 57, 56, 50, 53, 56
512, 187, 188, 194, 199, 199
1024, 788, 789, 809, 784, 796
2048, 3037, 3063, 3234, 3045, 3043
4096, 12752, 11868, 11877, 11906, 12062
8192, 50731, 49911, 48842, 47798, 52211
16384, 186807, 191132, 188706, 187016, 192831
32768, 748558, 749146, 748852, 750543, 757360
65536, 3163272, 3161704, 3165870, 3157446, 3232830
131072, 15243394, 15108936, 14559825, 15042339, 15004935
262144, 58719495, 57634731, 56560170, 57847078, 57244784
