size, time1, time2, time3, time4, time5
2, 0, 0, 0, 0, 0
4, 0, 0, 1, 0, 0
8, 0, 0, 0, 0, 1
16, 1, 0, 0, 1, 1
32, 1, 1, 0, 1, 1
64, 1, 1, 1, 1, 2
128, 2, 2, 3, 3, 5
256, 5, 5, 5, 6, 10
512, 11, 11, 12, 14, 21
1024, 23, 22, 24, 30, 45
2048, 53, 52, 58, 72, 96
4096, 158, 167, 174, 191, 210
8192, 449, 437, 440, 445, 454
16384, 996, 963, 966, 964, 996
32768, 2150, 2170, 2149, 2167, 2226
65536, 4279, 4350, 4307, 4315, 4320
131072, 9172, 9158, 9183, 9282, 9145
262144, 22272, 22178, 22298, 22636, 24855
