size, time1, time2, time3, time4, time5
32, 1, 1, 1, 2, 2
64, 3, 3, 3, 4, 4
128, 9, 6, 8, 14, 14
256, 24, 81, 96, 23, 29
512, 32, 33, 35, 40, 42
1024, 95, 92, 110, 117, 111
2048, 430, 223, 917, 247, 313
4096, 488, 570, 660, 1542, 489
8192, 860, 856, 1061, 908, 856
16384, 1818, 1824, 1860, 1802, 1806
32768, 5711, 4024, 3782, 3789, 4022
65536, 8640, 8670, 8330, 8419, 8090
131072, 17433, 17512, 17492, 17598, 17662
262144, 36552, 36617, 36521, 36777, 37916
524288, 84358, 86785, 95755, 93255, 94827
1048576, 236933, 237111, 233089, 254114, 252802
